condition,replicate,Bees,TotContacts,ContPerBee,MedianDur,Conts11,Prop11,Conts22,Prop22,HH,BB,HHPerBee,BBPerBee,speed,speed_sd,Spec_Ind,Space
C,1,79,2742236,34711.8481,1.500035048,186389,0.067969715,466313,0.170048457,186389,466313,2359.35443,5902.696203,88.17012698,78.31164773,1650.709481,1.140023306
D,1,83,1517661,18285.07229,1.500007153,126622,0.083432334,253503,0.167035326,126622,253503,1525.566265,3054.253012,89.49505547,76.00742936,757.5932242,1.110490473
C,2,90,4568305,50758.94444,1.666625023,407653,0.089235066,578547,0.12664369,407653,578547,4529.477778,6428.3,106.3218544,89.83993149,1645.207923,1.000953071
D,2,89,4880617,54838.39326,1.500047922,362587,0.074291222,790649,0.161997756,362587,790649,4074.011236,8883.696629,108.3014226,93.08743942,1095.785998,1.000410676
C,3,77,3067265,39834.61039,1.66676712,319003,0.104002426,435751,0.142064999,319003,435751,4142.896104,5659.103896,107.8688354,90.17118023,2184.444936,1.055727196
D,3,84,3792990,45154.64286,1.833378077,243410,0.064173647,645516,0.170186581,243410,645516,2897.738095,7684.714286,71.82519273,64.06346191,522.5495041,1.000336173
C,4,94,6683303,71098.96809,2.000078201,341581,0.051109609,864260,0.129316298,341581,864260,3633.840426,9194.255319,85.91669326,75.32068474,505.6235196,1.000084753
D,4,89,3858255,43351.17978,1.666727781,235965,0.061158477,619207,0.160488874,235965,619207,2651.292135,6957.382022,100.6397506,89.04818263,322.2321246,1.002356992
C,5,93,4737586,50941.78495,1.999977827,270213,0.057036009,634196,0.133864799,270213,634196,2905.516129,6819.311828,114.2118792,95.97945035,236.5180594,1.000581589
D,5,95,5272746,55502.58947,1.99999094,274551,0.052069832,721195,0.136777876,274551,721195,2890.010526,7591.526316,87.12989134,75.30088424,245.1852867,1.000347333
C,6,76,3319125,43672.69737,1.599963188,599678,0.180673521,258759,0.077960005,258759,599678,3404.723684,7890.5,75.09007188,62.88270769,1844.308223,1.000091155
D,6,80,3663992,45799.9,1.599967003,189621,0.051752569,740507,0.20210388,189621,740507,2370.2625,9256.3375,86.2837771,71.99604702,518.0600949,1.003460745
C,7,73,2613436,35800.49315,1.60001111,460205,0.176091934,200428,0.076691375,200428,460205,2745.589041,6304.178082,88.49085927,76.76322727,760.4825327,1.001612194
D,7,93,2947474,31693.26882,1.799663067,447096,0.151687852,277282,0.094074452,277282,447096,2981.526882,4807.483871,62.0743462,57.07553574,518.0600949,1.003460745
C,8,88,4193640,47655,1.999978065,739202,0.176267395,290660,0.069309717,290660,739202,3302.954545,8400.022727,63.62408203,59.49255789,885.0700817,1.001964182
D,8,79,3307116,41862.22785,1.600013971,584117,0.176624285,226365,0.068447856,226365,584117,2865.379747,7393.886076,98.98332682,84.58861317,951.8350486,1.004397806
C,9,75,3202563,42700.84,1.599951029,563148,0.175842911,184444,0.057592622,184444,563148,2459.253333,7508.64,92.69744851,77.5835649,895.2792259,1.001557418
D,9,93,3752250,40346.77419,1.599984169,619236,0.165030582,242266,0.064565527,242266,619236,2605.010753,6658.451613,93.21147209,77.84556162,413.4557928,1.000492454